date,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,compound_sentiment,sentiment_intensity,final_sentiment_score,Total Interactions,weighted_sentiment_neutral,weighted_sentiment_negative,weighted_sentiment_positive,weighted_positive,weighted_negative,weighted_neutral,weighted_compound,Open,High,Low,Close,Adj Close,Volume,pct_change,log_return,Close,Volume
2015-01-06,286,46,273,0,0,0,0,0,0,-0.91471116,1.8810812229390792,0.9663700629390792,605,38.045971315,560.177134495,6.776882695,0.011201459,0.925912619,0.062885903,-0.9147111773795124,274.610992,287.553009,272.696014,286.188995,286.188995,23245700,0.04268162391585939,0.041795879099908416,286.188995,23245700
2015-01-07,197,28,94,0,0,0,0,0,0,-0.8600181029999999,1.6079668728888854,0.7479487698888855,319,35.80512144,278.770315065,4.424540208,0.013870032,0.873888135,0.11224176,-0.8600181657813261,286.076996,298.753998,283.07901,294.337006,294.337006,24866800,0.028470734872247716,0.028072975522524937,294.337006,24866800
2015-01-08,0,0,0,0,0,0,0,0,0,-0.4293966554999999,1.6511664930954386,1.221769837595439,0,0.0,0.0,0.0,0.0219362568656783,0.4518969086069182,0.5261667884773136,-0.4299606715409674,294.13501,294.13501,282.174988,283.348999,283.348999,19982500,-0.037331381294270494,-0.038046039898176995,283.348999,19982500
2015-01-09,1421,80,725,0,0,0,0,0,0,0.001224792,1.694366113301992,1.695590905301992,2226,2092.644384541,66.570048608,66.785524334,0.0300024817313566,0.0299056822138364,0.9400918169546272,9.679951936910743e-05,282.382996,291.114014,280.53299,290.40799,290.40799,18718600,0.02491270844404858,0.024607446470229305,290.40799,18718600
2015-01-10,0,0,0,0,0,0,0,0,0,0.0094643236666666,1.449298882096157,1.4587632057628237,0,0.0,0.0,0.0,0.0375466870389041,0.0263428706054102,0.9361104382060764,0.0112038164799853,287.303009,288.127014,273.966003,274.79599,274.79599,15264300,-0.053758851469616786,-0.0552578285353837,274.79599,15264300
2015-01-11,0,0,0,0,0,0,0,0,0,0.0177038553333333,1.204231650890322,1.2219355062236552,0,0.0,0.0,0.0,0.0450908923464515,0.0227800589969839,0.9321290594575256,0.0223108331084891,274.608002,279.638,265.039001,265.660004,265.660004,18200800,-0.03324643128889915,-0.033811657049668264,265.660004,18200800
2015-01-12,12073,1,4,0,0,0,0,0,0,0.025943387,0.9591644196844868,0.9851078066844868,12078,11210.167687603,232.105913959,635.7267094649999,0.052635097653999,0.0192172473885577,0.928147680708975,0.0334178494048804,266.145996,272.203003,265.200012,267.79599,267.79599,18880300,0.008040299510045923,0.008008148522675666,267.79599,18880300
2015-01-13,241,87,52,0,0,0,0,0,0,0.116743429,1.5668189960500034,1.6835624250500034,380,322.03456288,6.80145888,51.1639619,0.134642005,0.017898576,0.847459376,0.1167434340199676,267.394012,268.277008,219.906006,225.860992,225.860992,72843904,-0.15659307669244793,-0.17030572889669182,225.860992,72843904
2015-01-14,1067,0,0,0,0,0,0,0,0,0.042532951,0.6973543019520141,0.7398872529520141,1067,942.487529742,39.564913773,84.94757249000001,0.07961347,0.037080519,0.883306026,0.0425329503620057,223.893997,223.893997,171.509995,178.102997,178.102997,97638704,-0.21144861968905204,-0.2375577126082179,178.102997,97638704
2015-01-15,0,0,0,0,0,0,0,0,0,0.032909673,1.078122106809603,1.111031779809603,0,0.0,0.0,0.0,0.0618014935,0.0288918205,0.909306705,0.0329096723747162,176.897003,229.067001,176.897003,209.843994,209.843994,81773504,0.17821708525208035,0.16400235114789063,209.843994,81773504
