date,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,compound_sentiment,sentiment_intensity,final_sentiment_score,Total Interactions,weighted_sentiment_neutral,weighted_sentiment_negative,weighted_sentiment_positive,weighted_positive,weighted_negative,weighted_neutral,weighted_compound,Date,Open,High,Low,Close,Adj Close,Volume
2015-01-04,300,579,2,0,0,0,0,0,0,-0.887714699,1.1085848893855328,0.2208701903855328,881,52.402093202,805.337268177,23.260618358,0.026402518,0.914117217,0.059480242,-0.8877147194174384,2015-01-04,281.145996,287.230011,257.612,264.195007,264.195007,55629100
2015-01-05,0,0,0,0,0,0,0,0,0,-0.9012129295,1.494833056162306,0.593620126662306,0,0.0,0.0,0.0,0.0188019885,0.920014918,0.061183072500000005,-0.9012129484254718,2015-01-05,265.084015,278.341003,265.084015,274.473999,274.473999,43962800
2015-01-06,286,46,273,0,0,0,0,0,0,-0.91471116,1.8810812229390792,0.9663700629390792,605,38.045971315,560.177134495,6.776882695,0.011201459,0.925912619,0.062885903,-0.9147111773795124,2015-01-06,274.610992,287.553009,272.696014,286.188995,286.188995,23245700
2015-01-07,197,28,94,0,0,0,0,0,0,-0.8600181029999999,1.6079668728888854,0.7479487698888855,319,35.80512144,278.770315065,4.424540208,0.013870032,0.873888135,0.11224176,-0.8600181657813261,2015-01-07,286.076996,298.753998,283.07901,294.337006,294.337006,24866800
2015-01-08,0,0,0,0,0,0,0,0,0,-0.42939665549999995,1.6511664930954386,1.2217698375954387,0,0.0,0.0,0.0,0.02193625686567835,0.4518969086069182,0.5261667884773136,-0.42996067154096745,2015-01-08,294.13501,294.13501,282.174988,283.348999,283.348999,19982500
2015-01-09,1421,80,725,0,0,0,0,0,0,0.0012247920000000012,1.694366113301992,1.695590905301992,2226,2092.644384541,66.570048608,66.785524334,0.030002481731356695,0.029905682213836476,0.9400918169546271,9.679951936910745e-05,2015-01-09,282.382996,291.114014,280.53299,290.40799,290.40799,18718600
2015-01-10,0,0,0,0,0,0,0,0,0,0.009464323666666666,1.449298882096157,1.4587632057628237,0,0.0,0.0,0.0,0.03754668703890413,0.02634287060541022,0.9361104382060764,0.011203816479985373,2015-01-10,287.303009,288.127014,273.966003,274.79599,274.79599,15264300
2015-01-11,0,0,0,0,0,0,0,0,0,0.017703855333333334,1.204231650890322,1.2219355062236552,0,0.0,0.0,0.0,0.04509089234645156,0.022780058996983966,0.9321290594575257,0.022310833108489154,2015-01-11,274.608002,279.638,265.039001,265.660004,265.660004,18200800
2015-01-12,12073,1,4,0,0,0,0,0,0,0.025943387,0.9591644196844868,0.9851078066844869,12078,11210.167687603,232.10591395900002,635.7267094649999,0.052635097653999,0.01921724738855771,0.928147680708975,0.03341784940488048,2015-01-12,266.145996,272.203003,265.200012,267.79599,267.79599,18880300
2015-01-13,241,87,52,0,0,0,0,0,0,0.11674342900000001,1.5668189960500034,1.6835624250500034,380,322.03456288,6.80145888,51.163961900000004,0.134642005,0.017898576,0.847459376,0.11674343401996767,2015-01-13,267.394012,268.277008,219.906006,225.860992,225.860992,72843904
